Date,Name,Year,Letterboxd URI,Rating,Rewatch,Tags,Watched Date
2025-10-15,Kung Fu Panda 3,2016,https://boxd.it/bn5cO3,3,,,2024-09-10
2025-10-15,Miracle in Cell No. 7,2019,https://boxd.it/bn3zs1,3,,,2024-10-01
2025-10-15,Iftar Soda,2016,https://boxd.it/bn3Odb,2.5,,,2024-10-17
2025-11-23,El Camino: A Breaking Bad Movie,2019,https://boxd.it/bO3jWH,,,,2024-10-18
2025-10-15,How to Train Your Dragon: The Hidden World,2019,https://boxd.it/bn53HR,3,,,2024-10-19
2025-10-15,Bird Box,2018,https://boxd.it/bn4XAP,2,,,2024-10-22
2025-10-15,How to Train Your Dragon 2,2014,https://boxd.it/bn52FP,3.5,,,2024-10-24
2025-10-12,Terminator 2: Judgment Day,1991,https://boxd.it/bkZAu7,3.5,,,2024-11-01
2025-10-15,Arif V 216,2018,https://boxd.it/bn3B75,3,,,2024-11-04
2025-10-15,Magic Carpet Ride,2005,https://boxd.it/bn3HWN,2.5,,,2024-11-07
2025-10-15,The Maze Runner,2014,https://boxd.it/bn4Wa7,3,,,2024-11-07
2025-10-15,Kolpaçino,2009,https://boxd.it/bn3wyF,4,,,2024-11-18
2025-10-15,Kolpaçino: Bomba,2011,https://boxd.it/bn3xZR,2.5,,,2024-11-20
2025-10-12,The Shawshank Redemption,1994,https://boxd.it/bkYKuf,4,,,2024-12-01
2025-10-12,Spider-Man: No Way Home,2021,https://boxd.it/bkYOUr,3,,,2024-12-01
2025-10-12,WALL·E,2008,https://boxd.it/bkZFhx,3.5,,,2024-12-01
2025-10-15,Ayla: The Daughter of War,2017,https://boxd.it/bn3eA9,3,,,2024-12-01
2025-10-15,Finding Nemo,2003,https://boxd.it/bn5fsf,3,,,2024-12-03
2025-10-15,Everything's Gonna Be Great,1998,https://boxd.it/bn3KBN,4,,,2024-12-05
2025-11-07,Diary of a Wimpy Kid: Rodrick Rules,2011,https://boxd.it/bCKb3H,2,,,2024-12-11
2025-10-15,Big Hero 6,2014,https://boxd.it/bn50BV,2.5,,,2024-12-20
2026-01-12,Titanic,1997,https://boxd.it/cAdLED,0.5,,,2025-01-01
2025-10-15,Money Trap,2019,https://boxd.it/bn3ISd,2,,,2025-01-02
2025-11-03,The Pursuit of Happyness,2006,https://boxd.it/bAapWL,4,,,2025-01-08
2025-11-10,Irreversible,2002,https://boxd.it/bEGc3D,4,,,2025-01-08
2025-01-14,The Face of Another,1966,https://boxd.it/8sSoKL,5,,,2025-01-13
2025-01-14,Donnie Darko,2001,https://boxd.it/8sSpcv,4.5,,,2025-01-13
2025-01-14,Memento,2000,https://boxd.it/8sSpwZ,5,,,2025-01-13
2025-01-14,The Seventh Seal,1957,https://boxd.it/8sSpXh,5,,,2025-01-13
2025-01-14,Pulp Fiction,1994,https://boxd.it/8sSqIH,5,,,2025-01-13
2025-01-14,The Shining,1980,https://boxd.it/8sSr15,5,,,2025-01-13
