Date,Name,Year,Letterboxd URI,Rating
2025-10-11,The Elephant Man,1980,https://boxd.it/27LQ,4
2025-10-11,Free Guy,2021,https://boxd.it/k8dm,2
2025-10-11,X-Men: Apocalypse,2016,https://boxd.it/7eJi,2
2025-10-11,Inside Out 2,2024,https://boxd.it/CFrC,2.5
2025-10-11,A Clockwork Orange,1971,https://boxd.it/2aVE,4
2025-10-12,Little Miss Sunshine,2006,https://boxd.it/29EW,3
2025-10-12,Hour of the Wolf,1968,https://boxd.it/1H9G,4
2025-10-12,Terminator 2: Judgment Day,1991,https://boxd.it/2aGY,3.5
2025-10-12,WALL·E,2008,https://boxd.it/1VEo,3.5
2025-10-13,Casablanca,1942,https://boxd.it/2aG0,4.5
2025-10-15,My Father and My Son,2005,https://boxd.it/1QgQ,4
2025-10-15,Ayla: The Daughter of War,2017,https://boxd.it/gWyw,3
2025-10-15,Mommy,2014,https://boxd.it/7Uau,4
2025-10-15,Kolpaçino: Bomba,2011,https://boxd.it/2Bv4,2.5
2025-10-15,Miracle in Cell No. 7,2019,https://boxd.it/nFrM,3
2025-10-15,Arif V 216,2018,https://boxd.it/g48u,3
2025-10-15,A.R.O.G,2008,https://boxd.it/1xGg,3
2025-10-15,G.O.R.A.,2004,https://boxd.it/1sau,3
2025-10-15,Magic Carpet Ride,2005,https://boxd.it/1kV8,2.5
2025-10-15,Money Trap,2019,https://boxd.it/lfkw,2
2025-10-15,Iftar Soda,2016,https://boxd.it/df5q,2.5
2025-10-15,Bird Box,2018,https://boxd.it/eh1i,2
2025-10-15,How to Train Your Dragon,2010,https://boxd.it/1WRy,3.5
2025-10-15,Megamind,2010,https://boxd.it/16Sk,2.5
2025-10-15,Finding Nemo,2003,https://boxd.it/72i,3
2025-10-15,Ice Age: Dawn of the Dinosaurs,2009,https://boxd.it/20iC,3
2025-10-15,Ice Age: Continental Drift,2012,https://boxd.it/lQ2,2
2025-10-15,Toy Story,1995,https://boxd.it/29qA,3
2025-10-15,"Monsters, Inc.",2001,https://boxd.it/2a46,3
2025-10-16,Into the Wild,2007,https://boxd.it/22m2,3
2025-10-18,Come and See,1985,https://boxd.it/1w9q,5
2025-10-19,Jaws,1975,https://boxd.it/2a5e,3.5
2025-10-21,Fantastic Mr. Fox,2009,https://boxd.it/1WyQ,4
2025-10-24,The Hobbit: An Unexpected Journey,2012,https://boxd.it/GZk,3.5
2025-11-01,Brokeback Mountain,2005,https://boxd.it/2b2q,3.5
2025-11-01,The Martian,2015,https://boxd.it/8SeG,3
2025-11-02,Coco,2017,https://boxd.it/bYJQ,3.5
2025-11-03,Paths of Glory,1957,https://boxd.it/29b6,5
2025-11-03,Home Alone 2: Lost in New York,1992,https://boxd.it/29F6,3
2025-11-05,The Purge,2013,https://boxd.it/4Xg0,2
2025-11-07,Texas Chainsaw Massacre,2022,https://boxd.it/ns6c,0.5
2025-11-07,Bolt,2008,https://boxd.it/1QXg,2.5
2025-11-07,Up,2009,https://boxd.it/1OEc,3
2025-11-07,Harry Potter and the Chamber of Secrets,2002,https://boxd.it/29QI,2.5
2025-11-07,Harry Potter and the Prisoner of Azkaban,2004,https://boxd.it/29Qy,3
2025-11-07,Harry Potter and the Goblet of Fire,2005,https://boxd.it/29Qo,2.5
2025-11-07,Harry Potter and the Order of the Phoenix,2007,https://boxd.it/29Qe,2.5
2025-11-07,Harry Potter and the Half-Blood Prince,2009,https://boxd.it/29FU,2.5
2025-11-07,Harry Potter and the Deathly Hallows: Part 2,2011,https://boxd.it/1RYk,3
2025-11-07,Madagascar,2005,https://boxd.it/29dc,3.5
2025-11-07,Madagascar: Escape 2 Africa,2008,https://boxd.it/1W2K,2
2025-11-07,Madagascar 3: Europe's Most Wanted,2012,https://boxd.it/2NF6,2.5
2025-11-07,Alvin and the Chipmunks,2007,https://boxd.it/21E0,2.5
2025-11-07,Alvin and the Chipmunks: The Squeakquel,2009,https://boxd.it/1zgk,2
2025-11-07,Alvin and the Chipmunks: Chipwrecked,2011,https://boxd.it/s9E,2.5
2025-11-07,X-Men,2000,https://boxd.it/1a7s,3.5
2025-11-07,Deadpool 2,2018,https://boxd.it/dlLM,3
2025-11-07,Deadpool & Wolverine,2024,https://boxd.it/jq8s,3
2025-11-07,Cloudy with a Chance of Meatballs,2009,https://boxd.it/1A40,3
2025-11-07,Alien,1979,https://boxd.it/2awY,4
2025-11-09,In Time,2011,https://boxd.it/FPS,2.5
2025-11-10,At the Bar,2007,https://boxd.it/1r7O,3
2025-11-11,Anatomy of a Fall,2023,https://boxd.it/yuDE,4
2025-11-12,Amélie,2001,https://boxd.it/2aUc,3
2025-11-14,The Secret Life of Pets,2016,https://boxd.it/aJ5E,2
2025-11-16,Passengers,2016,https://boxd.it/8lFu,2.5
2025-11-17,The Platform,2019,https://boxd.it/mUm6,3
2025-11-17,La La Land,2016,https://boxd.it/a5fa,4.5
2025-11-23,City of God,2002,https://boxd.it/2a2a,4.5
2025-11-23,Basic Instinct,1992,https://boxd.it/2asM,3.5
2025-11-23,The Dictator,2012,https://boxd.it/2DEW,1.5
2025-11-23,Fractured,2019,https://boxd.it/kPL2,3
2025-11-24,Kill Bill: Vol. 1,2003,https://boxd.it/70w,4
2025-11-24,Kill Bill: Vol. 2,2004,https://boxd.it/2au4,3.5
2025-11-24,Inside Out,2015,https://boxd.it/4KHC,3.5
2025-11-24,Cars,2006,https://boxd.it/29ho,3.5
2025-11-24,X-Men: First Class,2011,https://boxd.it/FOA,3.5
2025-11-27,Free Solo,2018,https://boxd.it/iEEq,3
2025-11-27,Monster House,2006,https://boxd.it/1Z2e,2.5
2025-11-28,Ready Player One,2018,https://boxd.it/aZes,1.5
2025-11-30,Saving Private Ryan,1998,https://boxd.it/29ro,3.5
2025-12-01,The Revenant,2015,https://boxd.it/8H5e,4
2025-12-02,Midsommar,2019,https://boxd.it/jhxe,4
2025-12-03,Society of the Snow,2023,https://boxd.it/y9aw,3.5
2025-12-05,Scent of a Woman,1992,https://boxd.it/1YAu,3
2025-12-05,Porco Rosso,1992,https://boxd.it/1Tp2,3.5
2025-12-07,Tony Robbins: I Am Not Your Guru,2016,https://boxd.it/d4Yu,0.5
2025-12-11,The Shining,1980,https://boxd.it/29Nu,4.5
2025-12-15,What's Eating Gilbert Grape,1993,https://boxd.it/28xg,3.5
2025-12-16,The Big Short,2015,https://boxd.it/ajZw,3
2025-12-18,Who Am I,2014,https://boxd.it/8ND2,2
2025-12-20,The Guilty,2018,https://boxd.it/hw9i,3.5
2025-12-20,The Guilty,2021,https://boxd.it/kOPW,1
2025-12-26,Once Upon a Time in America,1984,https://boxd.it/2aCs,5
2025-12-27,Equilibrium,2002,https://boxd.it/211s,2.5
2025-12-27,Spider-Man,2002,https://boxd.it/2a8i,3
2025-12-27,Spider-Man 2,2004,https://boxd.it/2a88,3
2025-12-27,Logan,2017,https://boxd.it/7Piy,2.5
2025-12-27,Rango,2011,https://boxd.it/QPk,3.5
2025-12-27,Kung Fu Panda 2,2011,https://boxd.it/G36,3.5
